"group" "nodes" "species" "mean_edge" "links" "triplet" "DEG" "density" "tdensity"
124 3 3 629.166666666667 6 1 "1" 1 1
247 3 3 642.333333333333 6 1 "1" 1 1
1160 11 11 501.037037037037 108 156 "1" 0.981818181818182 0.945454545454545
2563 32 30 619.351920693928 807 3210 "1" 0.813508064516129 0.647177419354839
3318 3 3 223.75 4 0 "1" 0.666666666666667 0
3864 3 3 391.75 4 0 "1" 0.666666666666667 0
3915 547 487 1765.22743065054 73108 1972121 "1" 0.244785074766793 0.0726956353778218
4673 8 8 1318.75925925926 54 56 "1" 0.964285714285714 1
5282 4 2 923.25 12 4 "1" 1 1
5584 5 3 509.5 18 7 "1" 0.9 0.7
6563 270 266 662.202400436443 12831 122196 "1" 0.17666253614209 0.0376666851615528
7312 3 3 627.833333333333 6 1 "1" 1 1
7377 7 7 678.735294117647 34 21 "1" 0.80952380952381 0.6
7414 3 3 542.833333333333 6 1 "1" 1 1
7538 3 3 381.166666666667 6 1 "1" 1 1
7621 525 489 304.844814306286 149305 10998647 "1" 0.542729916394039 0.458667781505491
8043 242 229 473.874734607219 36267 996733 "1" 0.621840814786873 0.427254295120195
9593 3 3 758 3 0 "1" 0.5 0
10259 3 3 706 6 1 "1" 1 1
11416 3 3 888 6 1 "1" 1 1
11449 1768 491 386.806831221261 358179 20535571 "1" 0.114651914050196 0.0223330749823122
12843 3 3 442.666666666667 6 1 "1" 1 1
13700 9 8 627.875 56 51 "1" 0.777777777777778 0.607142857142857
14039 3 3 2421 6 1 "1" 1 1
15298 476 452 685.216441449306 85917 3407277 "1" 0.37999557717824 0.190756694416607
15840 22 21 599.463601532567 261 423 "1" 0.564935064935065 0.274675324675325
16299 3 3 361.166666666667 6 1 "1" 1 1
16785 3 3 880.833333333333 6 1 "1" 1 1
17162 618 487 688.577254830263 153149 8334398 "1" 0.40164329960714 0.212897781043837
17848 491 472 326.040215385774 106228 4053797 "1" 0.441531235712207 0.20674109684857
18113 24 21 294.340579710145 552 2024 "1" 1 1
18378 923 491 535.525478810989 184624 8205859 "1" 0.216947941612633 0.0628178471372081
18777 4475 491 723.177135235881 584830 18661626 "1" 0.0292106097801575 0.00125029592071575
19004 506 479 179.736322697458 150779 8730007 "1" 0.590063788987594 0.406718016522149
19285 11 11 760.157142857143 70 61 "1" 0.636363636363636 0.36969696969697
19973 262 250 798.388444199098 32607 694290 "1" 0.476836009476178 0.234302549253852
19974 455 330 170.708616954364 71545 2794200 "1" 0.346347485114005 0.179160921349561
20726 981 487 504.429066861826 151671 8273608 "1" 0.157763839480746 0.0527434356524141
20800 5 4 801.55 20 10 "1" 1 1
21220 8 8 575.053571428571 56 56 "1" 1 1
21247 471 462 320.014496717724 18280 143169 "1" 0.0825766815738357 0.00827386887990497
21366 2251 490 640.086547766863 438128 20249758 "1" 0.086505355644405 0.0106665413003868
22076 3 3 1146.66666666667 6 1 "1" 1 1
22134 3 3 263.25 4 0 "1" 0.666666666666667 0
22432 249 246 258.186347926267 13888 139427 "1" 0.224899598393574 0.054846655788624
23486 2396 491 508.454319953524 370085 15011507 "1" 0.0644924909644118 0.00655630374936019
23856 715 457 748.485738342548 134206 5195842 "1" 0.262886133474369 0.0856472460795537
24426 3 3 1915 3 0 "1" 0.5 0
24648 524 486 569.513827951039 75897 2438604 "1" 0.276943791689168 0.102279607645566
24701 551 488 234.518163220344 158865 11140756 "1" 0.524220425672331 0.401771642220305
24952 3 3 573.333333333333 6 1 "1" 1 1
25255 681 443 908.848035501678 27717 290558 "1" 0.0598535890126976 0.00554444767143426
25743 541 488 250.967628268867 160912 12616027 "1" 0.550804408845074 0.48072207990349
26556 27 26 740.728813559322 590 2049 "1" 0.84045584045584 0.70051282051282
26720 1004 470 905.060948670576 149388 5965728 "1" 0.148347785329271 0.035474177224987
26794 2260 490 645.882199346283 372638 18062977 "1" 0.0729898498434972 0.00940138789291025
26916 470 435 692.689830088057 80630 3016630 "1" 0.365785056480515 0.175451361383403
27574 577 481 1750.47411706248 156976 10277498 "1" 0.472318505680724 0.322680343104011
27673 650 490 736.747303265809 188376 10347331 "1" 0.446547350954131 0.227115373640797
28194 674 489 1380.49631387324 110414 3797679 "1" 0.243416034320836 0.0747524221989447
28460 3 3 540.333333333333 6 1 "1" 1 1
28926 627 480 216.52976446762 125418 4506201 "1" 0.319534677530306 0.110214800434138
29485 5 5 502.125 8 2 "1" 0.4 0.2
29535 1354 490 474.615876224252 272105 13461136 "1" 0.148532011035163 0.0326091748795932
30277 499 473 563.331763690599 53303 1056578 "1" 0.214497267627625 0.0513294412635603
30526 3 3 624.333333333333 3 1 "1" 0.5 1
30718 362 256 595.031590389778 45077 1116955 "1" 0.34493656356652 0.142452033689924
30725 1592 491 524.492808368444 275320 10190135 "1" 0.108698741981435 0.0151817145211608
30958 3 3 223.25 4 0 "1" 0.666666666666667 0
31079 29 25 244.475490196078 204 226 "1" 0.251231527093596 0.0618500273672687
31123 2252 491 691.721294909039 426501 18182450 "1" 0.0841348980086214 0.00956482994598283
31424 1239 486 811.237596163747 135966 3782974 "1" 0.088641759926774 0.0119625276920743
31550 3 3 576.833333333333 6 1 "1" 1 1
32285 894 472 164.996882649056 173224 9767230 "1" 0.216979690408371 0.0822941252022844
32424 1559 491 524.008172843755 319595 17976953 "1" 0.131578947368421 0.0285210265078877
32813 690 489 664.697393750925 162072 11058643 "1" 0.340909951410362 0.202859961022628
32841 3 3 381.833333333333 6 1 "1" 1 1
32994 4 3 266 10 4 "1" 0.833333333333333 1
33117 10 10 923.922222222222 90 120 "1" 1 1
33280 36 33 904.254162042175 901 3667 "1" 0.715079365079365 0.513585434173669
