"inDEG" "group" "links" "triplet" "mean_edge" "nodes" "species"
"NO" "1" 833 9127 196.128451380552 47 1
"YES" "10" 10 10 254.1 5 5
"NO" "100" 9 7 148.222222222222 5 4
"NO" "1000" 5 2 126.2 4 3
"NO" "1001" 9 7 274.222222222222 5 4
"NO" "1002" 6 2 55 5 5
"NO" "1003" 263 506 163.61216730038 66 5
"NO" "1004" 3 1 207.666666666667 3 3
"NO" "1005" 10 10 150.9 5 2
"NO" "1006" 113 329 131.247787610619 19 5
"NO" "1007" 3 1 179.333333333333 3 3
"NO" "1008" 6 2 69 5 1
"NO" "1009" 13 11 111.615384615385 7 5
"NO" "101" 3 1 90.6666666666667 3 1
"YES" "1010" 70 77 171.185714285714 21 5
"NO" "1011" 5 1 147 5 5
"NO" "1012" 13 13 115.615384615385 6 1
"NO" "1013" 44 64 235.318181818182 13 2
"YES" "1014" 82550 6619787 88.8301150817686 687 5
"NO" "1015" 5 1 86.4 5 5
"NO" "1016" 2 0 96 3 1
"NO" "1017" 10 4 505.7 7 3
"NO" "1018" 15 20 171.6 6 5
"YES" "1019" 414 2465 208.51690821256 56 5
"NO" "102" 6 4 374.833333333333 4 4
"YES" "1020" 148 497 177.871621621622 24 5
"NO" "1021" 8481 136668 87.7244428723028 260 5
"YES" "1022" 9 7 344.777777777778 5 5
"NO" "1023" 1 0 70 2 2
"YES" "1024" 10 10 101.6 5 5
"YES" "1025" 10 10 215.4 5 5
"NO" "1026" 1 0 51 2 2
"NO" "1027" 10 10 180 5 5
"NO" "1028" 10 10 330.6 5 5
"NO" "1029" 10 10 276.6 5 5
"NO" "103" 6 4 115.5 4 2
"NO" "1030" 39 56 206.307692307692 13 5
"NO" "1031" 10 10 159.2 5 5
"NO" "1032" 1 0 71 2 2
"NO" "1033" 3 1 472.333333333333 3 3
"NO" "1034" 1 0 194 2 1
"NO" "1035" 9 7 165.333333333333 5 5
"NO" "1036" 6 4 111.5 4 4
"NO" "1037" 11 10 106.181818181818 6 5
"NO" "1038" 10 10 417.7 5 5
"NO" "1039" 104 210 96.6634615384615 28 5
"YES" "104" 10 10 152.9 5 5
"YES" "1040" 107 314 351.364485981308 21 5
"NO" "1041" 10 10 93.6 5 5
"NO" "1042" 3 1 241.666666666667 3 3
"NO" "1043" 6 4 362.833333333333 4 4
"NO" "1044" 10 10 301.5 5 5
"NO" "1045" 10 10 81.6 5 5
"YES" "1046" 10 10 483.8 5 5
"NO" "1047" 10 10 248.7 5 5
"NO" "1048" 10 10 100.7 5 5
"NO" "1049" 6 4 146.666666666667 4 2
"NO" "105" 14 16 192.857142857143 6 2
"NO" "1050" 73 112 354.86301369863 21 5
"NO" "1051" 17 14 136.705882352941 9 5
"NO" "1052" 10 10 192.3 5 5
"NO" "1053" 29 48 116.172413793103 9 5
"NO" "1054" 1 0 703 2 2
"NO" "1055" 2 0 84 3 2
"NO" "1056" 38 66 289.052631578947 11 5
"NO" "1057" 43 76 118.325581395349 14 5
"NO" "1058" 1 0 57 2 1
"NO" "1059" 6 4 85.1666666666667 4 4
"NO" "106" 16 20 301.1875 7 4
"NO" "1060" 3 1 363.666666666667 3 3
"NO" "1061" 3 1 498.333333333333 3 3
"NO" "1062" 10 10 418.6 5 5
"YES" "1063" 10 10 356.3 5 5
"NO" "1064" 5 1 155.2 5 5
"NO" "1065" 223 1343 165.789237668161 26 5
"NO" "1066" 55 84 117.854545454545 17 5
"NO" "1067" 36 84 403.75 9 5
"NO" "1068" 10 10 174.2 5 5
"YES" "1069" 9 7 84.4444444444444 5 5
"NO" "107" 10 10 235.6 5 5
"NO" "1070" 3 1 551 3 3
"NO" "1071" 3 1 1448.33333333333 3 3
"NO" "1072" 4 1 564 4 3
"YES" "1073" 36 84 261.583333333333 9 5
"NO" "1074" 3 1 89.3333333333333 3 3
"NO" "1075" 3 1 70 3 3
"YES" "1076" 6 4 188.166666666667 4 4
"NO" "1077" 3 0 52.6666666666667 4 1
"NO" "1078" 1 0 72 2 2
"NO" "1079" 6 4 68.5 4 4
"NO" "108" 573 4475 121.673647469459 46 1
"NO" "1080" 10 10 1048 5 5
"YES" "1081" 6 4 140.166666666667 4 4
"NO" "1082" 10 10 156 5 5
"NO" "1083" 10 10 277 5 5
"NO" "1084" 6 2 88.6666666666667 5 5
"NO" "1085" 28 56 219.857142857143 8 5
"NO" "1086" 10 10 191.2 5 5
"NO" "1087" 30 37 549.5 11 5
"NO" "1088" 73 197 154.780821917808 17 5
"NO" "1089" 20 20 212.05 9 5
"NO" "109" 10 10 94.2 5 5
"NO" "1090" 409 1336 70.5745721271394 63 5
"NO" "1091" 20 24 225.65 8 5
"NO" "1092" 3 1 351.333333333333 3 3
"NO" "1093" 11 7 325.454545454545 7 5
"NO" "1094" 15 20 207.533333333333 6 3
"YES" "1095" 19 14 150.631578947368 11 5
"NO" "1096" 46 86 106.826086956522 16 5
"NO" "1097" 14 16 331.285714285714 6 5
"NO" "1098" 33 65 224.151515151515 9 5
"NO" "1099" 50 49 120.22 22 5
"NO" "11" 55 165 273.072727272727 11 3
"NO" "110" 6 4 168.5 4 4
"NO" "1100" 9 7 79 5 5
"NO" "1101" 1 0 163 2 2
"YES" "1102" 1539 10673 159.232618583496 174 5
"NO" "1103" 65 210 329.846153846154 12 5
"NO" "1104" 6 4 79.6666666666667 4 3
"NO" "1105" 10 10 284 5 5
"NO" "1106" 7 4 78.4285714285714 5 5
"NO" "1107" 4 1 192 4 3
"YES" "1108" 10 10 571.1 5 5
"NO" "1109" 6 4 138.166666666667 4 1
"NO" "111" 10 10 530.4 5 5
"NO" "1110" 35 34 53.5714285714286 13 3
"NO" "1111" 3 1 719.666666666667 3 3
"NO" "1112" 6 2 82.1666666666667 5 3
"NO" "1113" 6 4 167.833333333333 4 4
"NO" "1114" 1 0 39 2 2
"NO" "1115" 3 1 165 3 3
"NO" "1116" 10 10 166.4 5 5
"NO" "1117" 1 0 99 2 1
"YES" "1118" 37 84 281.324324324324 10 5
"NO" "1119" 1 0 110 2 2
"NO" "112" 4 1 192.25 4 4
"NO" "1120" 10 10 231.6 5 5
"NO" "1121" 8 5 230.625 5 5
"NO" "1122" 3 1 251.333333333333 3 1
"NO" "1123" 19 20 77.3684210526316 8 5
"NO" "1124" 10 10 181.9 5 4
"NO" "1125" 5 2 76 4 4
"NO" "1126" 7 4 178.285714285714 5 5
"NO" "1127" 3 1 145 3 3
"NO" "1128" 7 3 97.5714285714286 5 5
"NO" "1129" 117 173 142.025641025641 39 5
"YES" "113" 19 26 345.631578947368 7 5
"YES" "1130" 1269 11113 123.072498029945 96 5
"NO" "1131" 1 0 120 2 1
"NO" "1132" 1 0 104 2 2
"NO" "1133" 2 0 76.5 3 2
"YES" "1134" 34 31 444.264705882353 15 5
"NO" "1135" 1 0 147 2 2
