"group" "mean_edge" "links" "triplet" "nodes" "cc" "Edensity" "Tdensity" "species" "persp"
1 827.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
2 1354 2 0 3 0 0.666666666666667 0 2 1.5
3 66 3 0 4 0 0.5 0 2 2
4 547.5 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
5 1984 8 3 6 0.527777777777778 0.533333333333333 0.15 3 2
6 1404.66666666667 6 1 6 0.25 0.4 0.05 3 2
7 1137.33333333333 2 0 3 0 0.666666666666667 0 3 1
8 3833 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
9 2515.33333333333 3 1 3 1 1 1 3 1
10 329 5 0 6 0 0.333333333333333 0 2 3
11 352.5 3 0 4 0 0.5 0 3 1.33333333333333
12 1320 3 0 4 0 0.5 0 3 1.33333333333333
13 997.333333333333 2 0 3 0 0.666666666666667 0 3 1
14 268 2 0 3 0 0.666666666666667 0 2 1.5
15 8222.5 20 16 8 0.6 0.714285714285714 0.285714285714286 3 2.66666666666667
16 944 2 0 3 0 0.666666666666667 0 2 1.5
17 287.333333333333 3 1 3 1 1 1 3 1
18 851 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
19 2919.33333333333 2 0 3 0 0.666666666666667 0 2 1.5
20 638.666666666667 2 0 3 0 0.666666666666667 0 3 1
21 838 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
22 4029.33333333333 3 1 3 1 1 1 3 1
23 558.25 15 4 8 0.233333333333333 0.535714285714286 0.0714285714285714 3 2.66666666666667
24 1479.33333333333 3 1 3 1 1 1 3 1
25 3727.2 7 3 5 0.8 0.7 0.3 3 1.66666666666667
26 558.666666666667 2 0 3 0 0.666666666666667 0 3 1
27 206.666666666667 2 0 3 0 0.666666666666667 0 3 1
28 237.333333333333 2 0 3 0 0.666666666666667 0 3 1
29 3282 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
30 1874 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
31 2703.33333333333 3 1 3 1 1 1 3 1
32 162 4 0 5 0 0.4 0 3 1.66666666666667
33 972.666666666667 2 0 3 0 0.666666666666667 0 3 1
34 895.333333333333 23 3 12 0.136111111111111 0.348484848484849 0.0136363636363636 3 4
35 801.6 6 2 5 0.6 0.6 0.2 3 1.66666666666667
36 72.4 4 0 5 0 0.4 0 3 1.66666666666667
37 228 4 0 5 0 0.4 0 2 2.5
38 395.5 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
39 658.666666666667 3 1 3 1 1 1 3 1
40 610 6 2 5 0.6 0.6 0.2 3 1.66666666666667
41 1220.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
42 1646 3 1 3 1 1 1 3 1
43 931.5 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
44 288 2 0 3 0 0.666666666666667 0 3 1
45 2166 14 1 8 0.0958333333333333 0.5 0.0178571428571429 3 2.66666666666667
46 863.466666666667 27 11 15 0.368571428571429 0.257142857142857 0.0241758241758242 3 5
47 181.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
48 1193.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
49 654.8 5 1 5 0.333333333333333 0.5 0.1 3 1.66666666666667
50 88 2 0 3 0 0.666666666666667 0 3 1
51 1402.66666666667 2 0 3 0 0.666666666666667 0 3 1
52 4189.75 14 1 8 0.158333333333333 0.5 0.0178571428571429 3 2.66666666666667
53 2877 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
54 514.5 3 0 4 0 0.5 0 3 1.33333333333333
55 964 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
56 803.333333333333 3 1 3 1 1 1 3 1
57 314.666666666667 2 0 3 0 0.666666666666667 0 3 1
58 374.5 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
59 156.666666666667 2 0 3 0 0.666666666666667 0 3 1
60 834.266666666667 43 21 15 0.220582010582011 0.40952380952381 0.0461538461538462 3 5
61 614.666666666667 5 0 6 0 0.333333333333333 0 3 2
62 436 2 0 3 0 0.666666666666667 0 2 1.5
63 265.6 4 0 5 0 0.4 0 3 1.66666666666667
64 2857.5 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
65 1454.8 5 1 5 0.333333333333333 0.5 0.1 3 1.66666666666667
66 1359.5 3 0 4 0 0.5 0 3 1.33333333333333
67 260.666666666667 2 0 3 0 0.666666666666667 0 2 1.5
68 1528 2 0 3 0 0.666666666666667 0 2 1.5
69 900.666666666667 3 1 3 1 1 1 3 1
70 785.6 5 1 5 0.433333333333333 0.5 0.1 3 1.66666666666667
71 1169.6 6 2 5 0.6 0.6 0.2 3 1.66666666666667
72 718.75 8 1 8 0.158333333333333 0.285714285714286 0.0178571428571429 3 2.66666666666667
73 1487.33333333333 10 2 9 0.259259259259259 0.277777777777778 0.0238095238095238 3 3
74 521.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
75 71 3 0 4 0 0.5 0 3 1.33333333333333
76 750 2 0 3 0 0.666666666666667 0 3 1
77 1186 2 0 3 0 0.666666666666667 0 3 1
78 410 3 0 4 0 0.5 0 3 1.33333333333333
79 639 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
80 4651.08474576271 196 114 59 0.297891612501661 0.114552893045003 0.00350672121566335 3 19.6666666666667
81 818.8 5 1 5 0.433333333333333 0.5 0.1 3 1.66666666666667
82 827.846153846154 18 5 13 0.197435897435897 0.230769230769231 0.0174825174825175 3 4.33333333333333
83 791.6 4 0 5 0 0.4 0 3 1.66666666666667
84 178.363636363636 10 0 11 0 0.181818181818182 0 3 3.66666666666667
85 74.8571428571429 6 0 7 0 0.285714285714286 0 3 2.33333333333333
86 1492.66666666667 2 0 3 0 0.666666666666667 0 3 1
87 1758 2 0 3 0 0.666666666666667 0 2 1.5
88 373.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
89 253 3 0 4 0 0.5 0 3 1.33333333333333
90 1223.66666666667 5 0 6 0 0.333333333333333 0 3 2
91 1247.55555555556 13 0 9 0 0.361111111111111 0 3 3
92 702 3 0 4 0 0.5 0 3 1.33333333333333
93 808 2 0 3 0 0.666666666666667 0 3 1
94 449.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
95 296 13 2 10 0.3 0.288888888888889 0.0166666666666667 3 3.33333333333333
96 493.333333333333 3 1 3 1 1 1 3 1
97 414 2 0 3 0 0.666666666666667 0 2 1.5
98 215.333333333333 3 1 3 1 1 1 3 1
99 238.5 3 0 4 0 0.5 0 3 1.33333333333333
100 222 2 0 3 0 0.666666666666667 0 2 1.5
101 507.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
102 733.2 5 1 5 0.333333333333333 0.5 0.1 3 1.66666666666667
103 778.666666666667 2 0 3 0 0.666666666666667 0 2 1.5
104 2901.71428571429 9 2 7 0.219047619047619 0.428571428571429 0.0571428571428571 3 2.33333333333333
105 711.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
106 1033 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
107 466.5 3 0 4 0 0.5 0 3 1.33333333333333
108 1388.8 5 1 5 0.433333333333333 0.5 0.1 3 1.66666666666667
109 1611.33333333333 3 1 3 1 1 1 3 1
110 788 10 2 9 0.207407407407407 0.277777777777778 0.0238095238095238 3 3
111 114.666666666667 2 0 3 0 0.666666666666667 0 3 1
112 758 3 0 4 0 0.5 0 3 1.33333333333333
113 1786.66666666667 2 0 3 0 0.666666666666667 0 2 1.5
114 1902.66666666667 6 1 6 0.35 0.4 0.05 3 2
115 992 2 0 3 0 0.666666666666667 0 2 1.5
116 1656.5 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
117 226 2 0 3 0 0.666666666666667 0 3 1
118 528.25 10 2 8 0.208333333333333 0.357142857142857 0.0357142857142857 3 2.66666666666667
119 5296 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
120 1005.125 19 0 16 0 0.158333333333333 0 3 5.33333333333333
121 803.333333333333 6 1 6 0.361111111111111 0.4 0.05 3 2
122 568 2 0 3 0 0.666666666666667 0 3 1
123 1345 3 0 4 0 0.5 0 3 1.33333333333333
124 2337.33333333333 3 1 3 1 1 1 3 1
125 1442.66666666667 2 0 3 0 0.666666666666667 0 2 1.5
126 519.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
127 708.666666666667 2 0 3 0 0.666666666666667 0 3 1
128 409 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
129 243 15 2 10 0.15 0.333333333333333 0.0166666666666667 3 3.33333333333333
130 907.666666666667 8 3 6 0.633333333333333 0.533333333333333 0.15 3 2
131 422.8 6 2 5 0.6 0.6 0.2 3 1.66666666666667
132 186.666666666667 2 0 3 0 0.666666666666667 0 2 1.5
133 1027.6 5 1 5 0.333333333333333 0.5 0.1 3 1.66666666666667
134 1011.33333333333 2 0 3 0 0.666666666666667 0 3 1
135 675.333333333333 2 0 3 0 0.666666666666667 0 3 1
136 378.666666666667 2 0 3 0 0.666666666666667 0 2 1.5
137 1558.66666666667 27 7 15 0.228518518518519 0.257142857142857 0.0153846153846154 3 5
